,Composer,Title,Measure,Beat,Pattern,Key,CadType,Tone,CVFs,LeadingTones,Sounding,Low,RelLow,RelTone,Progress,SinceLast,ToNext
44.0,Robert Parsons,In Nomine II,6,3.0,C2z,^C(2|4)z$,Abandoned Clausula Vera,C,zC,0.0,3.0,C3,P4,P4,0.09482758620689655,44.0,108.0
152.0,Robert Parsons,In Nomine II,20,1.0,BC1,^BC(1|3)x?z?$,Authentic,G,CTB,1.0,4.0,G2,P1,P8,0.3275862068965517,108.0,72.0
224.0,Robert Parsons,In Nomine II,29,1.0,C2P,C2P,,A,CP,,4.0,D3,P5,M2,0.4827586206896552,72.0,16.0
240.0,Robert Parsons,In Nomine II,31,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,D,CT,1.0,4.0,D3,P5,P5,0.5172413793103449,16.0,20.0
260.0,Robert Parsons,In Nomine II,33,3.0,T-2a,^T-2az?$,Evaded Altizans Only,,aT,-1.0,4.0,C3,P4,,0.5603448275862069,20.0,4.0
264.0,Robert Parsons,In Nomine II,34,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,B-,CT,1.0,4.0,B-2,m3,m3,0.5689655172413793,4.0,30.0
294.0,Robert Parsons,In Nomine II,37,4.0,C2T-1,^C(2|3|4)T-1z?$,Phrygian Clausula Vera,A,TC,1.0,4.0,F3,m7,M2,0.6336206896551724,30.0,10.0
304.0,Robert Parsons,In Nomine II,39,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,B-,CT,1.0,4.0,B-2,m3,m3,0.6551724137931034,10.0,16.0
320.0,Robert Parsons,In Nomine II,41,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,G,CT,1.0,3.0,G2,P1,P8,0.6896551724137931,16.0,16.0
336.0,Robert Parsons,In Nomine II,43,1.0,T-2c5,^T-2c(-1|-2|4|5)x?z?$,Evaded Clausula Vera,,cT,-1.0,3.0,G3,P8,,0.7241379310344828,16.0,136.0
80.0,Henry Mudd,In Nomine I,11,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,D,CT,1.0,4.0,D3,P1,P8,0.18433179723502305,80.0,176.0
256.0,Henry Mudd,In Nomine I,33,1.0,BC2,^BC(2|4)x?z?$,Authentic,D,CB,0.0,4.0,D3,P1,P8,0.5898617511520737,176.0,72.0
328.0,Henry Mudd,In Nomine I,42,1.0,T-2y,^T-2y$,Evaded Clausula Vera,,yT,-1.0,3.0,F2,-M6,,0.7557603686635944,72.0,36.0
364.0,Henry Mudd,In Nomine I,46,3.0,C1t2,^C(1|3)t(1|2)x?z?$,Evaded Clausula Vera,B-,tC,1.0,3.0,B-3,m6,m6,0.8387096774193549,36.0,76.0
120.0,Orlando Gibbons,In Nomine,16,1.0,BC1,^BC(1|3)x?z?$,Authentic,F,CB,1.0,4.0,F2,-M6,m3,0.2777777777777778,120.0,40.0
160.0,Orlando Gibbons,In Nomine,21,1.0,BC1,^BC(1|3)x?z?$,Authentic,C,CTB,1.0,4.0,C3,-M2,m7,0.37037037037037035,40.0,16.0
176.0,Orlando Gibbons,In Nomine,23,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,D,TC,1.0,4.0,F3,m3,P8,0.4074074074074074,16.0,56.0
232.0,Orlando Gibbons,In Nomine,30,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,F,CT,1.0,4.0,F2,-M6,m3,0.5370370370370371,56.0,72.0
304.0,Orlando Gibbons,In Nomine,39,1.0,BC1,^BC(1|3)x?z?$,Authentic,D,CTB,1.0,4.0,D3,P1,P8,0.7037037037037037,72.0,10.0
314.0,Orlando Gibbons,In Nomine,40,2.0,C1t1,^C(1|3)t(1|2)x?z?$,Evaded Clausula Vera,D,tC,1.0,4.0,E3,M2,P8,0.7268518518518519,10.0,6.0
320.0,Orlando Gibbons,In Nomine,41,1.0,C3T-2,^C(1|3)T-2x?z?$,Clausula Vera,D,CT,1.0,3.0,D3,P1,P8,0.7407407407407407,6.0,96.0
416.0,Orlando Gibbons,In Nomine,53,1.0,C1T-2,^C(1|3)T-2x?z?$,Clausula Vera,G,CT,1.0,3.0,G3,P4,P4,0.9629629629629629,96.0,24.0
